epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9193.1,0.45983,0.31407,0.98108,0.99724,0.98817,0.99486,0.97002,0.27841,0.18453,0.83905,0.000625948,0.000625948,0.000625948
85,9303.13,0.45983,0.31516,0.98188,0.99832,0.98715,0.99483,0.97715,0.2275,0.16771,0.82695,0.000618262,0.000618262,0.000618262
86,9412.83,0.46485,0.31791,0.98285,0.99775,0.98775,0.99489,0.97997,0.24052,0.17892,0.83136,0.000610545,0.000610545,0.000610545
87,9521.44,0.45826,0.31365,0.9808,0.9979,0.98771,0.9947,0.96473,0.28067,0.18625,0.84643,0.000602801,0.000602801,0.000602801
88,9629.38,0.45296,0.30937,0.9766,0.9979,0.98625,0.99487,0.96466,0.28433,0.18202,0.83634,0.000595031,0.000595031,0.000595031
89,9738,0.45727,0.31618,0.98029,0.99895,0.98793,0.99493,0.97523,0.24281,0.16593,0.82624,0.000587237,0.000587237,0.000587237
90,9846.25,0.45996,0.3137,0.97606,0.9969,0.98464,0.99485,0.98037,0.22713,0.16966,0.82587,0.000579422,0.000579422,0.000579422
91,9953.61,0.45422,0.31382,0.98095,0.99853,0.98781,0.99494,0.97651,0.25018,0.17666,0.83178,0.000571586,0.000571586,0.000571586
92,10060.1,0.44746,0.30709,0.97263,0.9976,0.98879,0.99493,0.97868,0.22493,0.16666,0.82244,0.000563733,0.000563733,0.000563733
93,10167.3,0.44229,0.30428,0.97054,0.9979,0.98811,0.99492,0.97098,0.27135,0.17499,0.83146,0.000555864,0.000555864,0.000555864
94,10274.5,0.43477,0.30141,0.96678,0.99748,0.98672,0.99491,0.98055,0.21252,0.16011,0.8181,0.00054798,0.00054798,0.00054798
95,10381,0.43621,0.30009,0.97155,0.99707,0.98824,0.99494,0.98118,0.24021,0.16675,0.83203,0.000540085,0.000540085,0.000540085
96,10488.9,0.44449,0.30818,0.97479,0.99832,0.98663,0.99487,0.97666,0.22654,0.164,0.82469,0.00053218,0.00053218,0.00053218
97,10597.6,0.43737,0.30101,0.96313,0.99696,0.98962,0.99496,0.97702,0.22972,0.17447,0.82753,0.000524267,0.000524267,0.000524267
98,10706.1,0.43148,0.29563,0.96428,0.99754,0.98713,0.99489,0.98171,0.21149,0.16559,0.82613,0.000516348,0.000516348,0.000516348
99,10816.2,0.43718,0.30045,0.96965,0.9985,0.98692,0.99484,0.97892,0.21061,0.15794,0.82232,0.000508425,0.000508425,0.000508425
100,10924.8,0.43389,0.30452,0.96996,0.99668,0.98796,0.99486,0.97406,0.24713,0.18398,0.83016,0.0005005,0.0005005,0.0005005
101,11034.5,0.43381,0.3011,0.96418,0.99766,0.98817,0.99493,0.97721,0.23212,0.16673,0.82735,0.000492575,0.000492575,0.000492575
102,11143.3,0.42953,0.29661,0.96531,0.99799,0.98879,0.99496,0.97809,0.23407,0.16387,0.82563,0.000484652,0.000484652,0.000484652
103,11253.4,0.4305,0.29491,0.96483,0.99726,0.98838,0.99492,0.98186,0.2021,0.15432,0.82057,0.000476733,0.000476733,0.000476733
104,11362.9,0.41805,0.29266,0.95716,0.99811,0.98907,0.99494,0.98174,0.22068,0.1587,0.82013,0.00046882,0.00046882,0.00046882
105,11472.2,0.42591,0.2988,0.97129,0.99738,0.98734,0.99493,0.97959,0.2173,0.16107,0.82248,0.000460915,0.000460915,0.000460915
